,OrderNumber,OrderDate,CustomerNameIndex,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,ProductDescriptionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost
123,SO - 000224,41806,135,Wholesale,USD,AXW291,9,7,11,6298.0,69278.0,4534.56
124,SO - 000225,41806,126,Wholesale,USD,AXW291,1,13,6,2499.1,14994.6,1824.343
125,SO - 000226,41806,140,Wholesale,USD,GUT930,36,7,8,871.0,6968.0,705.51
126,SO - 000227,41806,123,Wholesale,USD,GUT930,44,11,6,750.4,4502.4,360.192
127,SO - 000228,41806,139,Distributor,USD,GUT930,36,10,5,763.8,3819.0,504.108
128,SO - 000229,41806,96,Export,USD,NXH382,55,7,11,844.2,9286.2,565.614
129,SO - 000230,41806,154,Wholesale,USD,AXW291,6,15,5,261.3,1306.5,112.359
130,SO - 000231,41806,4,Export,USD,AXW291,13,10,8,3999.9,31999.2,2359.941
131,SO - 000232,41806,70,Wholesale,USD,GUT930,45,8,7,1112.2,7785.4,811.906
132,SO - 000233,41806,50,Wholesale,USD,AXW291,30,4,8,2633.1,21064.8,1843.17
133,SO - 000234,41806,44,Distributor,USD,AXW291,24,9,5,1018.4,5092.0,631.408
134,SO - 000235,41806,70,Distributor,USD,AXW291,10,12,12,5219.3,62631.6,3444.738
135,SO - 000236,41806,175,Export,USD,NXH382,47,7,11,3999.9,43998.9,2359.941
136,SO - 000237,41807,90,Wholesale,USD,FLR025,62,14,10,1721.9,17219.0,1084.797
137,SO - 000238,41807,129,Wholesale,USD,GUT930,35,5,9,737.0,6633.0,456.94
138,SO - 000239,41807,124,Wholesale,USD,AXW291,6,11,9,1219.4,10974.6,695.058
139,SO - 000240,41807,9,Wholesale,USD,NXH382,51,14,6,891.1,5346.6,712.88
140,SO - 000241,41807,117,Wholesale,USD,AXW291,27,5,12,978.2,11738.4,743.432
141,SO - 000242,41807,100,Wholesale,USD,AXW291,31,6,9,3946.3,35516.7,1657.446
142,SO - 000243,41807,92,Wholesale,USD,GUT930,33,1,12,1299.8,15597.6,922.858
143,SO - 000244,41808,155,Distributor,USD,AXW291,14,5,5,5815.6,29078.0,2791.488
144,SO - 000245,41808,100,Distributor,USD,AXW291,22,15,10,1092.1,10921.0,655.26
145,SO - 000246,41808,156,Wholesale,USD,AXW291,7,12,7,1072.0,7504.0,643.2
146,SO - 000247,41808,134,Wholesale,USD,GUT930,39,9,11,4020.0,44220.0,2653.2
147,SO - 000248,41808,140,Wholesale,USD,AXW291,12,10,9,984.9,8864.1,669.732
148,SO - 000249,41808,28,Wholesale,USD,FLR025,62,5,12,227.8,2733.6,100.232
149,SO - 000250,41808,72,Wholesale,USD,AXW291,7,8,11,3993.2,43925.2,3314.356
150,SO - 000251,41808,106,Distributor,USD,AXW291,30,12,10,221.1,2211.0,185.724
151,SO - 000252,41809,62,Distributor,USD,AXW291,19,13,9,3356.7,30210.3,2819.628
152,SO - 000253,41809,94,Wholesale,USD,NXH382,58,2,6,1701.8,10210.8,1157.224
153,SO - 000254,41809,67,Wholesale,USD,NXH382,50,9,5,2566.1,12830.5,2181.185
154,SO - 000255,41809,102,Wholesale,USD,AXW291,19,7,12,221.1,2653.2,126.027
155,SO - 000256,41809,172,Wholesale,USD,GUT930,45,2,9,1782.2,16039.8,980.21
156,SO - 000257,41809,41,Wholesale,USD,AXW291,17,7,10,2003.3,20033.0,801.32
157,SO - 000258,41809,142,Wholesale,USD,AXW291,6,11,11,2385.2,26237.2,1502.676
158,SO - 000259,41809,2,Wholesale,USD,AXW291,3,8,11,2231.1,24542.1,1784.88
159,SO - 000260,41809,140,Wholesale,USD,AXW291,22,7,7,1005.0,7035.0,412.05
160,SO - 000261,41809,122,Distributor,USD,NXH382,53,15,12,2693.4,32320.8,1939.248
161,SO - 000262,41809,156,Wholesale,USD,AXW291,20,15,8,1105.5,8844.0,652.245
162,SO - 000263,41810,108,Distributor,USD,AXW291,16,9,9,1909.5,17185.5,1088.415
163,SO - 000264,41810,123,Distributor,USD,GUT930,32,8,8,1118.9,8951.2,850.364
164,SO - 000265,41810,15,Wholesale,USD,AXW291,17,10,10,1038.5,10385.0,758.105
165,SO - 000266,41810,125,Distributor,USD,AXW291,23,2,6,6324.8,37948.8,4300.864
166,SO - 000267,41810,75,Wholesale,USD,AXW291,3,3,6,1005.0,6030.0,502.5
167,SO - 000268,41810,116,Distributor,USD,GUT930,32,5,10,1293.1,12931.0,659.481
168,SO - 000269,41810,47,Wholesale,USD,AXW291,14,1,5,844.2,4221.0,540.288
169,SO - 000270,41810,40,Wholesale,USD,NXH382,58,3,8,247.9,1983.2,195.841
170,SO - 000271,41810,161,Wholesale,USD,GUT930,39,7,12,174.2,2090.4,139.36
171,SO - 000272,41811,58,Wholesale,USD,NXH382,50,9,9,1025.1,9225.9,707.319
172,SO - 000273,41811,18,Export,USD,FLR025,62,9,9,3068.6,27617.4,2301.45
173,SO - 000274,41811,78,Distributor,USD,AXW291,22,12,7,241.2,1688.4,115.776
174,SO - 000275,41811,67,Distributor,USD,GUT930,36,1,10,174.2,1742.0,139.36
175,SO - 000276,41811,152,Export,USD,AXW291,6,7,7,2505.8,17540.6,1804.176
176,SO - 000277,41811,164,Wholesale,USD,GUT930,42,1,11,2599.6,28595.6,1637.748
177,SO - 000278,41811,151,Export,USD,AXW291,28,5,12,2278.0,27336.0,1503.48
178,SO - 000279,41812,106,Wholesale,USD,FLR025,64,10,12,1092.1,13105.2,589.734
179,SO - 000280,41812,1,Wholesale,USD,AXW291,8,8,9,1139.0,10251.0,933.98
180,SO - 000281,41812,67,Export,USD,FLR025,61,9,11,1675.0,18425.0,1072.0
181,SO - 000282,41812,38,Export,USD,GUT930,41,5,7,1011.7,7081.9,687.956
182,SO - 000283,41812,127,Wholesale,USD,AXW291,23,14,12,938.0,11256.0,412.72
183,SO - 000284,41812,66,Distributor,USD,AXW291,10,12,10,2566.1,25661.0,1052.101
184,SO - 000285,41813,59,Wholesale,USD,GUT930,32,9,12,871.0,10452.0,374.53
185,SO - 000286,41813,68,Wholesale,USD,AXW291,15,7,9,2485.7,22371.3,1789.704
186,SO - 000287,41813,67,Distributor,USD,FLR025,66,11,9,2345.0,21105.0,1922.9
187,SO - 000288,41813,21,Distributor,USD,AXW291,9,3,12,1118.9,13426.8,749.663
188,SO - 000289,41813,39,Wholesale,USD,AXW291,2,1,7,1996.6,13976.2,1397.62
189,SO - 000290,41813,113,Distributor,USD,AXW291,23,4,6,710.2,4261.2,390.61
190,SO - 000291,41813,21,Export,USD,GUT930,37,12,6,3979.8,23878.8,1790.91
191,SO - 000292,41813,116,Distributor,USD,FLR025,61,15,6,1025.1,6150.6,440.793
192,SO - 000293,41813,95,Distributor,USD,GUT930,36,6,8,2519.2,20153.6,1309.984
193,SO - 000294,41813,9,Wholesale,USD,AXW291,27,11,8,5031.7,40253.6,3471.873
194,SO - 000295,41814,3,Wholesale,USD,NXH382,56,12,10,1829.1,18291.0,768.222
195,SO - 000296,41814,148,Wholesale,USD,NXH382,55,1,11,1072.0,11792.0,900.48
196,SO - 000297,41814,109,Wholesale,USD,GUT930,45,12,10,2539.3,25393.0,1828.296
197,SO - 000298,41814,38,Distributor,USD,NXH382,48,8,8,3899.4,31195.2,2027.688
198,SO - 000299,41815,102,Wholesale,USD,FLR025,66,4,7,5045.1,35315.7,3380.217
199,SO - 000300,41815,37,Wholesale,USD,AXW291,23,10,11,1005.0,11055.0,522.6
200,SO - 000301,41815,107,Wholesale,USD,GUT930,33,14,11,2438.8,26826.8,1219.4
201,SO - 000302,41816,40,Distributor,USD,AXW291,28,15,6,3336.6,20019.6,2035.326
202,SO - 000303,41816,154,Wholesale,USD,GUT930,46,10,6,1098.8,6592.8,857.064
203,SO - 000304,41816,107,Wholesale,USD,AXW291,12,1,11,1902.8,20930.8,970.428
204,SO - 000305,41816,137,Wholesale,USD,AXW291,28,10,11,3477.3,38250.3,2190.699
205,SO - 000306,41817,146,Distributor,USD,GUT930,36,15,10,2599.6,25996.0,1481.772
206,SO - 000307,41817,164,Wholesale,USD,NXH382,54,1,12,1078.7,12944.4,506.989
207,SO - 000308,41817,4,Distributor,USD,GUT930,36,15,11,1045.2,11497.2,533.052
208,SO - 000309,41817,4,Export,USD,AXW291,29,2,11,1125.6,12381.6,787.92
209,SO - 000310,41817,165,Export,USD,GUT930,34,5,12,1105.5,13266.0,762.795
210,SO - 000311,41817,68,Export,USD,AXW291,16,9,10,2606.3,26063.0,1668.032
211,SO - 000312,41817,109,Wholesale,USD,GUT930,41,13,7,227.8,1594.6,95.676
212,SO - 000313,41817,107,Wholesale,USD,GUT930,33,1,8,167.5,1340.0,123.95
213,SO - 000314,41817,48,Wholesale,USD,GUT930,45,1,6,1145.7,6874.2,538.479
214,SO - 000315,41817,62,Wholesale,USD,NXH382,59,9,7,2599.6,18197.2,2157.668
215,SO - 000316,41818,21,Wholesale,USD,AXW291,25,5,5,3939.6,19698.0,1969.8
216,SO - 000317,41818,40,Distributor,USD,AXW291,20,7,6,2881.0,17286.0,1584.55
217,SO - 000318,41818,62,Distributor,USD,AXW291,20,8,8,3852.5,30820.0,2003.3
218,SO - 000319,41818,100,Export,USD,AXW291,10,12,7,1139.0,7973.0,546.72
219,SO - 000320,41818,59,Distributor,USD,GUT930,35,7,8,2519.2,20153.6,2040.552
220,SO - 000321,41818,39,Distributor,USD,AXW291,15,5,12,1192.6,14311.2,703.634
221,SO - 000322,41818,122,Wholesale,USD,GUT930,39,2,11,2412.0,26532.0,1013.04
222,SO - 000323,41818,142,Wholesale,USD,AXW291,24,7,9,2479.0,22311.0,2057.57
223,SO - 000324,41818,5,Wholesale,USD,NXH382,58,9,10,1956.4,19564.0,1330.352
224,SO - 000325,41818,22,Wholesale,USD,GUT930,32,12,9,1078.7,9708.3,722.729
225,SO - 000326,41818,47,Wholesale,USD,AXW291,13,9,11,1212.7,13339.7,945.906
226,SO - 000327,41818,88,Distributor,USD,GUT930,46,10,7,978.2,6847.4,821.688
227,SO - 000328,41818,172,Distributor,USD,NXH382,50,13,10,174.2,1742.0,120.198
228,SO - 000329,41818,74,Wholesale,USD,GUT930,41,7,5,1125.6,5628.0,630.336
229,SO - 000330,41819,31,Distributor,USD,NXH382,52,12,8,1065.3,8522.4,468.732
230,SO - 000331,41819,111,Distributor,USD,AXW291,11,11,8,3892.7,31141.6,2724.89
231,SO - 000332,41819,54,Wholesale,USD,NXH382,54,11,5,207.7,1038.5,120.466
232,SO - 000333,41819,99,Wholesale,USD,AXW291,14,11,8,1185.9,9487.2,948.72
233,SO - 000334,41819,110,Export,USD,FLR025,64,3,11,2586.2,28448.2,1629.306
234,SO - 000335,41819,152,Wholesale,USD,AXW291,5,12,10,2579.5,25795.0,1960.42
235,SO - 000336,41819,10,Distributor,USD,AXW291,5,2,8,6378.4,51027.2,2806.496
236,SO - 000337,41819,41,Wholesale,USD,NXH382,53,4,6,3008.3,18049.8,2226.142
237,SO - 000338,41819,27,Wholesale,USD,AXW291,26,15,8,1755.4,14043.2,930.362
238,SO - 000339,41819,168,Wholesale,USD,AXW291,31,13,8,1139.0,9112.0,740.35
239,SO - 000340,41819,3,Distributor,USD,AXW291,8,4,7,6157.3,43101.1,4556.402
240,SO - 000341,41819,150,Export,USD,AXW291,8,3,12,2231.1,26773.2,1093.239
241,SO - 000342,41819,4,Wholesale,USD,AXW291,12,4,9,2479.0,22311.0,1859.25
242,SO - 000343,41820,70,Wholesale,USD,AXW291,4,14,11,6391.8,70309.8,4793.85
243,SO - 000344,41820,143,Export,USD,NXH382,48,4,8,1139.0,9112.0,660.62
244,SO - 000345,41820,65,Wholesale,USD,GUT930,36,4,8,2586.2,20689.6,1681.03
245,SO - 000346,41820,171,Wholesale,USD,GUT930,38,11,5,3899.4,19497.0,1871.712
246,SO - 000347,41820,48,Distributor,USD,AXW291,15,10,9,951.4,8562.6,599.382
247,SO - 000348,41821,41,Distributor,USD,GUT930,31,12,9,5607.9,50471.1,3476.898
248,SO - 000349,41821,44,Export,USD,NXH382,50,12,8,1165.8,9326.4,827.718
249,SO - 000350,41821,30,Distributor,USD,NXH382,50,5,12,1949.7,23396.4,1520.766
250,SO - 000351,41821,75,Distributor,USD,AXW291,27,13,9,3685.0,33165.0,2690.05
251,SO - 000352,41821,138,Wholesale,USD,FLR025,60,11,8,2633.1,21064.8,1816.839
252,SO - 000353,41821,133,Wholesale,USD,NXH382,50,14,6,1072.0,6432.0,460.96
253,SO - 000354,41821,67,Distributor,USD,AXW291,6,4,10,3537.6,35376.0,1910.304
254,SO - 000355,41821,151,Distributor,USD,GUT930,42,6,11,1092.1,12013.1,622.497
255,SO - 000356,41821,98,Wholesale,USD,NXH382,48,9,9,1748.7,15738.3,1136.655
256,SO - 000357,41821,82,Wholesale,USD,AXW291,2,6,8,891.1,7128.8,739.613
257,SO - 000358,41821,78,Wholesale,USD,AXW291,29,4,5,3082.0,15410.0,1510.18
258,SO - 000359,41821,63,Wholesale,USD,AXW291,27,9,5,1125.6,5628.0,776.664
259,SO - 000360,41821,47,Wholesale,USD,AXW291,19,10,9,1252.9,11276.1,651.508
260,SO - 000361,41822,4,Distributor,USD,FLR025,66,3,11,837.5,9212.5,527.625
261,SO - 000362,41822,172,Wholesale,USD,NXH382,53,1,10,1031.8,10318.0,773.85
262,SO - 000363,41822,64,Wholesale,USD,GUT930,46,10,10,2385.2,23852.0,1454.972
263,SO - 000364,41822,106,Distributor,USD,AXW291,28,13,8,1802.3,14418.4,1153.472
264,SO - 000365,41822,29,Distributor,USD,NXH382,49,10,5,1018.4,5092.0,753.616
265,SO - 000366,41822,60,Wholesale,USD,AXW291,19,7,10,3946.3,39463.0,1815.298
266,SO - 000367,41822,29,Distributor,USD,AXW291,24,3,6,3953.0,23718.0,2095.09
267,SO - 000368,41823,142,Wholesale,USD,AXW291,29,8,10,5098.7,50987.0,3416.129
268,SO - 000369,41823,173,Export,USD,FLR025,63,15,11,3758.7,41345.7,1954.524
269,SO - 000370,41823,141,Distributor,USD,AXW291,9,12,5,911.2,4556.0,610.504
270,SO - 000371,41823,42,Wholesale,USD,GUT930,43,6,8,904.5,7236.0,379.89
271,SO - 000372,41823,87,Wholesale,USD,AXW291,23,8,10,911.2,9112.0,410.04
272,SO - 000373,41823,82,Wholesale,USD,AXW291,7,9,10,227.8,2278.0,134.402
273,SO - 000374,41823,4,Distributor,USD,AXW291,13,11,5,254.6,1273.0,117.116
274,SO - 000375,41823,160,Wholesale,USD,AXW291,6,1,11,683.4,7517.4,444.21
275,SO - 000376,41824,129,Wholesale,USD,AXW291,29,10,7,3919.5,27436.5,2234.115
276,SO - 000377,41824,34,Distributor,USD,FLR025,64,14,10,1092.1,10921.0,786.312
277,SO - 000378,41825,130,Wholesale,USD,GUT930,36,6,11,924.6,10170.6,536.268
278,SO - 000379,41825,47,Distributor,USD,GUT930,33,2,5,1018.4,5092.0,794.352
279,SO - 000380,41825,66,Distributor,USD,FLR025,65,7,5,1788.9,8944.5,1305.897
280,SO - 000381,41825,77,Distributor,USD,AXW291,15,12,11,944.7,10391.7,538.479
281,SO - 000382,41825,133,Distributor,USD,AXW291,26,6,6,3959.7,23758.2,2573.805
282,SO - 000383,41825,42,Distributor,USD,AXW291,27,7,12,167.5,2010.0,70.35
283,SO - 000384,41825,111,Export,USD,AXW291,19,12,8,3872.6,30980.8,1975.026
284,SO - 000385,41825,65,Distributor,USD,GUT930,34,7,5,6539.2,32696.0,3858.128
285,SO - 000386,41825,17,Wholesale,USD,AXW291,10,11,6,1025.1,6150.6,779.076
286,SO - 000387,41825,11,Wholesale,USD,GUT930,35,8,5,938.0,4690.0,572.18
287,SO - 000388,41825,159,Distributor,USD,FLR025,64,3,11,1045.2,11497.2,804.804
288,SO - 000389,41825,106,Export,USD,GUT930,37,5,9,167.5,1507.5,112.225
289,SO - 000390,41825,86,Distributor,USD,FLR025,61,2,5,1721.9,8609.5,1377.52
